metric,Q2_2024,Q3_2024,Q4_2024,Q1_2025
ARR,1100000,1600000,2100000,3800000
QoQ_ARR_growth,--,45%,31%,81%
MRR,91667,133333,175000,316667
Logo_count,2,3,4,6
Deployed_physicians,48,89,143,214
Average_contract_value,550000,533333,525000,634000
Gross_margin,64%,67%,68%,71%
Burn_rate_monthly,780000,890000,1050000,1200000
Cash_on_hand,8200000,7100000,5000000,4300000
Net_revenue_retention,--,--,128%,138%
Prior_auth_approval_rate_improvement,--,26%,29%,31%
Claim_denial_reduction_avg,--,18%,20%,22%
Physician_satisfaction_avg,4.4,4.5,4.6,4.6
Headcount,22,28,34,38
Engineering_headcount,10,13,15,17
Sales_cycle_months,7.1,6.8,6.5,6.2
Contracted_ARR_not_live,1200000,1800000,2900000,5100000
Receivables_overdue_45d,0,320000,890000,1900000
